epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,35075.1,0.91259,0.38831,0.96585,0.99,0.99036,0.99402,0.67805,0.8717,0.33981,0.78687,0.000158025,0.000158025,0.000158025
109,35399.8,0.90514,0.3826,0.96301,0.99008,0.99065,0.99405,0.67872,0.87049,0.33443,0.78645,0.00015158,0.00015158,0.00015158
110,35724.5,0.91048,0.38451,0.96241,0.99022,0.9905,0.99407,0.67952,0.8699,0.32895,0.78617,0.000145245,0.000145245,0.000145245
111,36049.4,0.90336,0.38252,0.95996,0.99038,0.99042,0.99406,0.68054,0.86913,0.33127,0.78573,0.000139024,0.000139024,0.000139024
112,36374.2,0.90611,0.38259,0.9628,0.99069,0.99095,0.99407,0.68069,0.86804,0.33035,0.7853,0.000132919,0.000132919,0.000132919
113,36699,0.89576,0.37855,0.95688,0.99065,0.99104,0.99406,0.68056,0.86768,0.32767,0.78517,0.000126933,0.000126933,0.000126933
114,37023.6,0.89043,0.37703,0.95867,0.9906,0.99114,0.99405,0.68036,0.8669,0.32292,0.78482,0.000121069,0.000121069,0.000121069
115,37348.1,0.89013,0.37624,0.95501,0.99011,0.9906,0.99404,0.68137,0.86539,0.31917,0.78444,0.000115328,0.000115328,0.000115328
116,37672.9,0.88778,0.37614,0.95503,0.99064,0.99039,0.99405,0.68183,0.86436,0.31725,0.78413,0.000109715,0.000109715,0.000109715
117,37997.7,0.88453,0.37005,0.95294,0.99063,0.99048,0.99404,0.68234,0.86377,0.31603,0.78391,0.00010423,0.00010423,0.00010423
118,38322.3,0.88176,0.37342,0.95309,0.98743,0.99342,0.99405,0.68219,0.86309,0.31271,0.78373,9.88768e-05,9.88768e-05,9.88768e-05
119,38647.3,0.88019,0.3766,0.95358,0.98756,0.99337,0.99404,0.68266,0.86224,0.31127,0.78347,9.36574e-05,9.36574e-05,9.36574e-05
120,38971.7,0.86813,0.37237,0.94899,0.99064,0.99045,0.99404,0.68303,0.86153,0.30959,0.78329,8.85742e-05,8.85742e-05,8.85742e-05
121,39296.7,0.86964,0.37164,0.94727,0.99092,0.99043,0.99405,0.68368,0.86084,0.3093,0.7831,8.36293e-05,8.36293e-05,8.36293e-05
122,39622.1,0.86786,0.37126,0.95181,0.99063,0.99043,0.99406,0.68362,0.86043,0.30758,0.78284,7.88249e-05,7.88249e-05,7.88249e-05
123,39946.6,0.86544,0.36933,0.95035,0.9908,0.99042,0.99406,0.68407,0.86017,0.3061,0.78263,7.41632e-05,7.41632e-05,7.41632e-05
124,40271.3,0.86217,0.36492,0.94515,0.99185,0.99115,0.99463,0.68394,0.85992,0.30497,0.78244,6.96461e-05,6.96461e-05,6.96461e-05
125,40596.3,0.8558,0.36621,0.94554,0.99188,0.99115,0.99463,0.68502,0.85943,0.30373,0.78234,6.52758e-05,6.52758e-05,6.52758e-05
126,40921.5,0.85877,0.36619,0.94747,0.99211,0.9909,0.99462,0.68556,0.85934,0.30346,0.78231,6.10539e-05,6.10539e-05,6.10539e-05
127,41246.5,0.86002,0.36918,0.94542,0.9921,0.99074,0.99462,0.68547,0.85888,0.30245,0.78232,5.69826e-05,5.69826e-05,5.69826e-05
128,41571.6,0.85842,0.37089,0.94493,0.9921,0.99061,0.99463,0.68572,0.85873,0.30209,0.78217,5.30634e-05,5.30634e-05,5.30634e-05
129,41896.8,0.84626,0.36415,0.94248,0.99216,0.99048,0.99462,0.68584,0.85822,0.30199,0.78213,4.92981e-05,4.92981e-05,4.92981e-05
130,42222,0.85114,0.36795,0.94307,0.99239,0.99043,0.99461,0.68648,0.85832,0.30137,0.78202,4.56885e-05,4.56885e-05,4.56885e-05
131,42547.1,0.85573,0.36345,0.94494,0.9924,0.99038,0.99461,0.68613,0.85768,0.30134,0.78188,4.2236e-05,4.2236e-05,4.2236e-05
132,42872.1,0.84938,0.36204,0.94233,0.9924,0.99037,0.99461,0.68601,0.85694,0.3014,0.78164,3.89422e-05,3.89422e-05,3.89422e-05
133,43197,0.85115,0.3691,0.94356,0.9924,0.99036,0.9946,0.68619,0.85666,0.30144,0.78155,3.58085e-05,3.58085e-05,3.58085e-05
134,43521.3,0.84609,0.36004,0.94347,0.99224,0.99039,0.99459,0.68625,0.85623,0.30165,0.78146,3.28363e-05,3.28363e-05,3.28363e-05
135,43846,0.84828,0.36569,0.94338,0.99228,0.99035,0.99461,0.68646,0.8559,0.30167,0.78138,3.0027e-05,3.0027e-05,3.0027e-05
136,44171.3,0.84137,0.36544,0.94282,0.99228,0.99035,0.99461,0.68628,0.85584,0.30147,0.78132,2.73816e-05,2.73816e-05,2.73816e-05
137,44495.9,0.84035,0.36328,0.93789,0.99231,0.99033,0.99459,0.68655,0.85545,0.30134,0.78119,2.49015e-05,2.49015e-05,2.49015e-05
138,44821,0.83783,0.35829,0.93815,0.9923,0.99033,0.9946,0.68689,0.85494,0.30104,0.78113,2.25876e-05,2.25876e-05,2.25876e-05
139,45145.9,0.8372,0.35905,0.93573,0.99231,0.99032,0.99461,0.68639,0.85485,0.30127,0.78114,2.04411e-05,2.04411e-05,2.04411e-05
140,45470.7,0.84035,0.36219,0.937,0.99229,0.99032,0.99459,0.68695,0.85474,0.30094,0.78113,1.84628e-05,1.84628e-05,1.84628e-05
141,45818,0.81065,0.32002,0.92647,0.99231,0.99032,0.99461,0.68714,0.8547,0.30198,0.78112,1.66536e-05,1.66536e-05,1.66536e-05
142,46144.1,0.80318,0.3168,0.92089,0.99265,0.99069,0.9946,0.68781,0.85448,0.30287,0.78109,1.50142e-05,1.50142e-05,1.50142e-05
143,46470.1,0.80386,0.31412,0.92281,0.99263,0.99072,0.9946,0.68724,0.85408,0.30391,0.78095,1.35456e-05,1.35456e-05,1.35456e-05
144,46796.4,0.80656,0.31549,0.92675,0.99263,0.99075,0.99461,0.6875,0.85395,0.30465,0.78084,1.22482e-05,1.22482e-05,1.22482e-05
145,47122.5,0.79771,0.31194,0.91929,0.99261,0.99079,0.9946,0.68785,0.85364,0.30545,0.78081,1.11226e-05,1.11226e-05,1.11226e-05
146,47448.5,0.80371,0.31624,0.92235,0.99257,0.99082,0.9946,0.68765,0.85344,0.30595,0.78074,1.01693e-05,1.01693e-05,1.01693e-05
147,47774.4,0.80042,0.3153,0.92303,0.99252,0.99081,0.9946,0.68854,0.85335,0.30731,0.78073,9.38883e-06,9.38883e-06,9.38883e-06
148,48100.2,0.80016,0.31351,0.92232,0.99244,0.99081,0.9946,0.68873,0.85305,0.30855,0.78068,8.78142e-06,8.78142e-06,8.78142e-06
149,48426.1,0.79188,0.31296,0.92227,0.99238,0.99081,0.9946,0.68873,0.85276,0.3093,0.78058,8.34736e-06,8.34736e-06,8.34736e-06
150,48752.7,0.7994,0.3119,0.92106,0.99234,0.99081,0.9946,0.68886,0.85269,0.31063,0.7806,8.08685e-06,8.08685e-06,8.08685e-06
