epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,17868.7,0.90367,0.40073,0.96058,0.9855,0.99128,0.99171,0.67735,0.8717,0.3085,0.78995,0.000151336,0.000151336,0.000151336
115,18025.5,0.89837,0.40202,0.9588,0.98491,0.99057,0.99136,0.6772,0.87034,0.3078,0.78952,0.000144161,0.000144161,0.000144161
116,18181,0.89794,0.3963,0.95643,0.985,0.99057,0.99137,0.67826,0.86959,0.30745,0.78913,0.000137143,0.000137143,0.000137143
117,18337.4,0.90105,0.40169,0.95604,0.98501,0.99058,0.99136,0.67876,0.86879,0.307,0.78889,0.000130287,0.000130287,0.000130287
118,18494.2,0.89452,0.40018,0.95574,0.98501,0.99059,0.99137,0.67952,0.86765,0.30679,0.78854,0.000123596,0.000123596,0.000123596
119,18650.9,0.88674,0.39634,0.95613,0.98504,0.99059,0.99137,0.6796,0.86659,0.30638,0.78813,0.000117072,0.000117072,0.000117072
120,18807.3,0.88484,0.39179,0.95256,0.98504,0.99059,0.99136,0.68054,0.86565,0.30606,0.7879,0.000110718,0.000110718,0.000110718
121,18963.3,0.8915,0.39277,0.95326,0.98507,0.99059,0.99298,0.68061,0.86467,0.30665,0.78757,0.000104537,0.000104537,0.000104537
122,19119.3,0.88359,0.39382,0.95283,0.9851,0.99059,0.99297,0.68068,0.86442,0.30635,0.78754,9.85311e-05,9.85311e-05,9.85311e-05
123,19276.2,0.88621,0.39327,0.95264,0.98515,0.99059,0.99298,0.68039,0.86367,0.30658,0.78737,9.2704e-05,9.2704e-05,9.2704e-05
124,19432.4,0.87123,0.38954,0.94703,0.98518,0.99059,0.99298,0.68148,0.86324,0.30683,0.78726,8.70577e-05,8.70577e-05,8.70577e-05
125,19588.4,0.87293,0.38992,0.95079,0.98521,0.99059,0.99297,0.68197,0.8625,0.30617,0.78707,8.15947e-05,8.15947e-05,8.15947e-05
126,19744.8,0.87269,0.39016,0.95087,0.98526,0.99058,0.99298,0.68136,0.86218,0.30638,0.78698,7.63174e-05,7.63174e-05,7.63174e-05
127,19901.2,0.86852,0.38893,0.95,0.98527,0.99058,0.99299,0.68233,0.86153,0.30636,0.78689,7.12282e-05,7.12282e-05,7.12282e-05
128,20057.8,0.8708,0.39031,0.94759,0.98529,0.99058,0.99298,0.68172,0.86105,0.30627,0.78677,6.63292e-05,6.63292e-05,6.63292e-05
129,20214.2,0.8714,0.39049,0.94605,0.98531,0.99058,0.99301,0.68263,0.86116,0.30591,0.78668,6.16227e-05,6.16227e-05,6.16227e-05
130,20370.6,0.8716,0.38682,0.9516,0.98532,0.99056,0.993,0.68205,0.86017,0.30564,0.78639,5.71106e-05,5.71106e-05,5.71106e-05
131,20527.3,0.86655,0.38715,0.94865,0.98534,0.99056,0.99299,0.68301,0.85995,0.30599,0.78634,5.2795e-05,5.2795e-05,5.2795e-05
132,20684.5,0.86427,0.38243,0.94719,0.98539,0.99054,0.99305,0.68287,0.85932,0.30576,0.78613,4.86777e-05,4.86777e-05,4.86777e-05
133,20840.5,0.86559,0.38571,0.94671,0.98607,0.99117,0.99328,0.68307,0.85896,0.30562,0.78596,4.47606e-05,4.47606e-05,4.47606e-05
134,20997.1,0.86969,0.3857,0.94885,0.98548,0.9905,0.99146,0.68308,0.85863,0.30548,0.78589,4.10454e-05,4.10454e-05,4.10454e-05
135,21153.7,0.86114,0.38642,0.94692,0.98618,0.99112,0.99172,0.68387,0.85826,0.30553,0.78569,3.75337e-05,3.75337e-05,3.75337e-05
136,21310.4,0.86283,0.3864,0.94473,0.98623,0.99112,0.99171,0.68348,0.85814,0.30528,0.78566,3.4227e-05,3.4227e-05,3.4227e-05
137,21466.7,0.86262,0.38692,0.94415,0.98628,0.9911,0.99171,0.68347,0.85798,0.30525,0.78562,3.11268e-05,3.11268e-05,3.11268e-05
138,21623.6,0.86017,0.38641,0.94233,0.9863,0.9911,0.99171,0.68328,0.85796,0.30528,0.78561,2.82345e-05,2.82345e-05,2.82345e-05
139,21779.8,0.85866,0.38256,0.94633,0.98702,0.9918,0.99369,0.68374,0.85792,0.30504,0.78558,2.55513e-05,2.55513e-05,2.55513e-05
140,21937,0.85244,0.38148,0.94256,0.98706,0.99179,0.99372,0.68362,0.85754,0.30534,0.78549,2.30784e-05,2.30784e-05,2.30784e-05
141,183.35,0.83894,0.3408,0.93282,0.98707,0.99178,0.99371,0.68279,0.85745,0.30576,0.78548,2.08169e-05,2.08169e-05,2.08169e-05
142,340.501,0.83462,0.33955,0.93209,0.98706,0.99176,0.99371,0.68383,0.85747,0.30576,0.78553,1.87678e-05,1.87678e-05,1.87678e-05
143,496.563,0.83301,0.34112,0.93267,0.98708,0.99175,0.99371,0.68289,0.85732,0.30562,0.78552,1.6932e-05,1.6932e-05,1.6932e-05
144,652.833,0.83223,0.34176,0.9322,0.98709,0.99174,0.9937,0.68359,0.85751,0.30553,0.78556,1.53102e-05,1.53102e-05,1.53102e-05
145,808.886,0.8277,0.33722,0.92994,0.9871,0.99173,0.99371,0.68297,0.85739,0.30562,0.78557,1.39032e-05,1.39032e-05,1.39032e-05
146,965.208,0.83052,0.33792,0.92947,0.9871,0.99172,0.9937,0.6835,0.85746,0.3061,0.78562,1.27117e-05,1.27117e-05,1.27117e-05
147,1121.8,0.82736,0.34068,0.93027,0.98722,0.99209,0.99368,0.68314,0.85752,0.30613,0.78564,1.1736e-05,1.1736e-05,1.1736e-05
148,1278.68,0.82295,0.3347,0.92997,0.98721,0.99208,0.99369,0.68206,0.85757,0.30638,0.78564,1.09768e-05,1.09768e-05,1.09768e-05
149,1435.48,0.82622,0.33533,0.93007,0.98722,0.99207,0.99369,0.68273,0.85756,0.30685,0.78561,1.04342e-05,1.04342e-05,1.04342e-05
150,1592.14,0.82568,0.33877,0.92942,0.9872,0.99209,0.99367,0.68267,0.85761,0.30734,0.78565,1.01086e-05,1.01086e-05,1.01086e-05
